ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620607,A,Actinidiaceae,,Actinidia,,"acuminata",,"","Budisch. ex Trautv.",Accepted,,M,WCSP (in review),744475,828392-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","8: 167","","1883"
kew-2620609,A,Actinidiaceae,,Actinidia,,"arguta",,"","(Siebold & Zucc.) Planch. ex Miq.",Accepted,,M,WCSP (in review),744477,,"Ann. Mus. Bot. Lugduno-Batavi","3: 15","","1867"
tro-500177,A,Actinidiaceae,,Actinidia,,"arguta",var.,"arguta","",Accepted,,L,TRO,500177,,"","","",""
kew-2620613,A,Actinidiaceae,,Actinidia,,"arguta",var.,"hypoleuca","(Nakai) Kitam.",Accepted,,L,WCSP (in review),744481,,"Acta Phytotax. Geobot.","31: 48","","1980"
kew-2620616,A,Actinidiaceae,,Actinidia,,"arguta",var.,"purpurea","(Rehder) C.F.Liang ex Q.Q.Chang",Accepted,,L,WCSP (in review),744484,1006048-1,"Wuyi Sci. J.","2: 27","","1982"
kew-2620619,A,Actinidiaceae,,Actinidia,,"arisanensis",,"","Hayata",Accepted,,M,WCSP (in review),744487,316461-1,"Icon. Pl. Formosan.","8: 11","","1911"
kew-2620620,A,Actinidiaceae,,Actinidia,,"asymmetrica",,"","F.Chun",Accepted,,M,WCSP (in review),744488,56879-1,"Sunyatsenia","7: 13","","1948"
kew-2620621,A,Actinidiaceae,,Actinidia,,"callosa",,"","Lindl.",Accepted,,M,WCSP (in review),744489,828394-1,"Intr. Nat. Syst. Bot.","ed. 2: 439","","1836"
kew-2620627,A,Actinidiaceae,,Actinidia,,"callosa",var.,"formosana","Finet & Gagnep.",Accepted,,L,WCSP (in review),744495,,"Bull. Soc. Bot. France","52(4): 20","","1905"
